State Name,County Name,County FIPS,Year,Month,CropIndemnityPayment,CropIndemnityPayment(ADJ),CropIndemnityPaymentPerCapita,Records
ARKANSAS,Clay,'05021',2013,9,170239.00000,156778.14000,10.25096,5
ARKANSAS,Clay,'05021',2013,10,4739.00000,4364.29000,0.28536,2
ARKANSAS,Clay,'05021',2013,11,55059.00000,50705.46000,3.31538,1
ARKANSAS,Clay,'05021',2013,12,10762.00000,9911.04000,0.64803,1
ARKANSAS,Clay,'05021',2014,4,812538.03000,736345.44000,48.70654,19
ARKANSAS,Clay,'05021',2014,5,1526437.47000,1383301.70000,91.50031,25
ARKANSAS,Clay,'05021',2014,6,307727.44000,278871.48000,18.44632,13
ARKANSAS,Clay,'05021',2014,7,53345.93000,48343.61000,3.19775,6
ARKANSAS,Clay,'05021',2014,8,63961.00000,57963.31000,3.83406,2
ARKANSAS,Clay,'05021',2014,10,78721.00000,71339.24000,4.71883,2
ARKANSAS,Clay,'05021',2014,12,39702.00000,35979.09000,2.37988,3
ARKANSAS,Clay,'05021',2015,4,1578640.00000,1428913.07000,94.57364,16
ARKANSAS,Clay,'05021',2015,5,2234289.00000,2022376.72000,133.85245,21
ARKANSAS,Clay,'05021',2015,6,529336.00000,479130.86000,31.71162,14
ARKANSAS,Clay,'05021',2015,7,39436.28000,35695.92000,2.36256,4
ARKANSAS,Clay,'05021',2015,8,15320.00000,13866.97000,0.91780,3
ARKANSAS,Clay,'05021',2015,10,97831.50000,88552.61000,5.86092,4
ARKANSAS,Clay,'05021',2015,11,731.50000,662.12000,0.04382,1
ARKANSAS,Clay,'05021',2015,12,5898.00000,5338.60000,0.35334,3
ARKANSAS,Clay,'05021',2016,1,1363.00000,1196.59000,0.08020,1
ARKANSAS,Clay,'05021',2016,3,115587.50000,101475.08000,6.80128,6
ARKANSAS,Clay,'05021',2016,4,215530.55000,189215.79000,12.68202,11
ARKANSAS,Clay,'05021',2016,5,784618.34000,688822.04000,46.16770,20
ARKANSAS,Clay,'05021',2016,6,262370.50000,230336.93000,15.43813,11
ARKANSAS,Clay,'05021',2016,7,44363.00000,38946.60000,2.61036,4
ARKANSAS,Clay,'05021',2016,8,429203.00000,376800.38000,25.25472,8
ARKANSAS,Clay,'05021',2016,9,94751.00000,83182.58000,5.57524,2
ARKANSAS,Clay,'05021',2016,10,191187.00000,167844.43000,11.24963,3
ARKANSAS,Clay,'05021',2016,11,97169.00000,85305.36000,5.71752,5
ARKANSAS,Clay,'05021',2016,12,3780.00000,3318.49000,0.22242,2
ARKANSAS,Conway,'05029',2010,5,17800.00000,17512.74000,0.82421,1
ARKANSAS,Conway,'05029',2010,6,3366.00000,3311.68000,0.15586,2
ARKANSAS,Conway,'05029',2010,7,1922.00000,1890.98000,0.08900,1
ARKANSAS,Conway,'05029',2010,11,8490.00000,8352.99000,0.39312,2
ARKANSAS,Conway,'05029',2010,12,148692.00000,146292.40000,6.88500,6
ARKANSAS,Conway,'05029',2011,4,39967.00000,38118.77000,1.80222,8
ARKANSAS,Conway,'05029',2011,5,63126.00000,60206.84000,2.84652,7
ARKANSAS,Conway,'05029',2011,6,572.00000,545.55000,0.02579,2
ARKANSAS,Conway,'05029',2012,1,3351.00000,3131.24000,0.14759,1
ARKANSAS,Conway,'05029',2012,3,9443.00000,8823.72000,0.41590,1
ARKANSAS,Conway,'05029',2012,5,100741.00000,94134.31000,4.43695,1
ARKANSAS,Conway,'05029',2012,6,44835.20000,41894.86000,1.97468,2
